Date,AAPL,CVX,JNJ,MSFT,NVDA,PFE,UNH,XOM
2019-04-12,111042800,42693700,5756800,19745100,471708000,21338546,13979400,16638700
2019-04-15,70146400,13369100,5380900,15792600,440092000,18362788,10021800,8536100
2019-04-16,102785600,11942900,10745700,14071800,394964000,27506976,27361400,7005700
2019-04-17,115627200,11898100,9543700,19300900,351004000,42412117,22101400,8311400
2019-04-18,96783200,9546500,10485300,27991000,380988000,50579774,13927200,9493900
2019-04-22,77758000,7946200,4666500,15648700,279936000,31018904,11191800,10770600
2019-04-23,93292000,9079200,5790500,24025500,346856000,26672102,10261400,10595100
2019-04-24,70162400,22115000,5676300,31257000,318204000,21196994,6104100,11684000
2019-04-25,74172800,10636400,5218100,38033900,499296000,18130065,5954500,11135000
2019-04-26,74596400,11626700,4613600,23654900,868988000,20053193,6186200,18053500
2019-04-29,88818800,9404000,4275200,16324200,391920000,23229001,5345300,10023700
2019-04-30,186139600,21431500,6003700,24166500,362920000,34360400,7632300,13721500
2019-05-01,259309200,10097000,6656300,26821700,354280000,20703406,4823200,13909800
2019-05-02,127985200,9495600,8835600,27350200,394684000,20471210,5499200,15360400
2019-05-03,83569600,7364900,5281600,24911100,336824000,18664759,4323100,12180700
2019-05-06,129772400,11035000,5818900,24239800,422176000,25973406,7180200,13367100
2019-05-07,155054800,9165200,6606700,36017700,555220000,27603838,5104700,13498800
2019-05-08,105358000,6229000,4667300,28419000,419168000,23811968,3768400,11352900
2019-05-09,139634400,16496300,5604200,27235800,660248000,19732461,4299500,13221600
2019-05-10,164834800,8787900,4771600,30915100,569500000,17391527,4374400,11056000
2019-05-13,229722400,7701200,5560000,33944900,656912000,28010788,4684400,12176100
2019-05-14,146118800,6858500,7179400,25266300,524880000,26772759,5329700,10548400
2019-05-15,106178800,6945000,6429400,24722700,502320000,33520678,5099700,8918000
2019-05-16,132125600,8543300,6857200,30112200,781088000,25508486,4456400,8105200
2019-05-17,131516400,6870900,6915300,25770500,1022068000,29187684,4486400,9279400
2019-05-20,154449200,4569700,4771100,23706900,572064000,24251591,5390800,7154300
2019-05-21,113459200,4859400,4859000,15293300,361848000,28785056,5345300,8489900
2019-05-22,118994400,5763300,5456800,15396500,325868000,25274604,4038000,7858300
2019-05-23,146118800,11000200,6951800,23603800,591844000,25495944,3934600,14657200
2019-05-24,94858800,4890800,5473300,14123400,357584000,15383341,2973900,7056400
2019-05-28,111792800,8145100,11919600,23128400,428356000,49440610,6172700,14912900
2019-05-29,113924800,7451300,23247400,22763100,559800000,26895761,3958400,13645200
2019-05-30,84873600,5807900,7360600,16829600,394300000,17344308,2646600,9362100
2019-05-31,108174400,6899800,7811000,26646800,389720000,22639288,3285700,13983300
2019-06-03,161584400,6100800,8434600,37983600,478644000,22643082,4999400,11831000
2019-06-04,123872000,5235600,6648900,29382600,641836000,18453537,4992000,10423000
2019-06-05,119093600,5105700,6860600,24926100,511616000,21418861,3194400,10617800
2019-06-06,90105200,7370100,9115800,21459000,408140000,24494222,2630100,11738900
2019-06-07,122737600,5343100,6533900,33885600,348856000,20023470,2837400,9095500
2019-06-10,104883600,5708800,4994700,26477100,402780000,15275727,2331000,7760400
2019-06-11,107731600,5625100,8230500,23913700,383872000,18813162,3043000,9415100
2019-06-12,73012800,4000100,9216500,17092500,358892000,16296843,3251800,7920800
2019-06-13,86698400,3993300,7500800,17200800,308080000,14464042,3107800,8986400
2019-06-14,75046000,3366800,6548100,17821700,394428000,13197872,2165500,8575900
